set,composer,albumID,pieceID,key,chroma,participant,valence,arousal,condition,expID
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,41,5,58,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,41,3,24,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,42,3,87,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,42,5,20,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,43,3,74,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,43,6,41,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,6,2,89,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,6,7,31,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,7,6,84,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,7,6,53,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,8,5,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,8,4,50,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,12,6,82,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,12,3,27,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,13,3,77,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,13,5,68,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,14,1,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,14,3,23,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,15,3,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,15,5,41,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,16,6,91,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,16,5,39,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,17,4,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,17,5,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,18,5,98,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,18,4,38,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,19,7,95,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,19,5,56,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,24,3,72,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,24,4,36,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,25,3,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,25,3,17,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,26,2,96,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,26,3,63,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,27,5,69,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,27,4,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,28,4,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,28,5,37,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,29,5,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,29,5,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,30,7,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,30,6,70,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,31,4,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,31,3,18,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,32,4,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,32,6,27,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,33,5,93,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,33,6,1,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,34,2,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,34,4,53,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,37,3,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,37,3,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,38,3,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,38,3,63,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,39,5,62,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,39,3,31,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,4,4,81,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,4,3,39,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,40,5,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,40,5,40,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,41,6,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,41,3,36,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,42,2,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,42,6,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,43,3,89,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,43,5,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,6,2,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,6,5,61,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,7,6,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,7,3,40,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m10,bb,10,8,4,64,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M10,Bb,10,8,5,67,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,12,4,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,12,6,68,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,13,4,43,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,13,6,79,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,14,2,39,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,14,7,97,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,15,3,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,15,6,81,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,16,4,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,16,7,84,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,17,5,10,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,17,7,92,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,18,5,34,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,18,6,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,19,4,2,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,19,6,59,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,24,3,20,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,24,6,40,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,25,2,29,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,25,4,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,26,4,43,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,26,6,78,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,27,3,5,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,27,6,58,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,28,1,10,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,28,7,84,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,29,3,54,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,29,4,40,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,30,3,16,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,30,6,37,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,31,3,32,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,31,6,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,32,2,34,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,32,4,81,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,33,5,24,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,33,7,3,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,34,4,45,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,34,6,72,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m11,b,11,37,3,22,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M11,B,11,37,7,88,deadpan,137
